fullText,polaridad
@kelvingame3 mano dura señor presidente guillermo lasso con estos farsantes que no quieren la recuperacion del pais por su egoismo los ecuatorianos queremos trabajar y trabajar para salir de esta crisis que nos afecta por la pandemia a nivel mundial no se diga nacional,1
@semarco @lassoguillermo yo si te creo y te apoyo guillermo lasso presidente  https://t.co/dtllrrjmsb,1
"@comunicacionec yo tambien quiero para la extraccion de miel de abeja  si me daran pero no tengo la libreta de banecuador, gracias sr.presidente guillermo lasso",1
"@ped_rodr @inesrviv @martinminguchi @lassoguillermo @donosoecuador @simoncueva su buena gestion le ha dado estos meritos, guillermo lasso sube trabajando por un mejor mañana lleno de igualdad para todos los ecuatorianos @juanflores18 @4pelagatos4 @lassoguillermo",1
@matematicoarcos que pena ver como estos medios se prestan para dar favoritismo a quienes siempre han hecho lo imposible por sabotear la buena gestion de @lassoguillermo sin embargo guillermo lasso sube cumpliendo las promesas con acciones en pro de su pueblo @rorkaufo @notimundoec https://t.co/fztgi9kftu,1
"@comunicacionec @lassoguillermo @banecuadorbp no me cabe la menor duda de la buena gestion que hace nuestro presidente,guillermo lasso sube, y con el la economia, los creditos... mil gracias @guillermolasso @juanflores18",1
"@mandradele @ecuavisainforma @marcoanibal @jcarlosaizprua @leninartieda cifras manipuladas, encuestas que buscan favorecer aquellos que siempre han estado para dañar la buena gestion de @lassoguillermo pero pese a las falsas aseveraciones guillermo lasso sube y el pueblo que lo eligio para el cambio lo sigue apoyando @carponce11 @tctelevision",1
"@inesrviv @martinminguchi @lassoguillermo @donosoecuador su trabajo y dedicacion por hacer surgir a su pais lo enaltece y le da la credibilidad suficiente por la que su pueblo desde un inicio lo eligio para el cambio, guillermo lasso sube por su buena gestion @lassoguillermo @cancilleriaec @tctelevision https://t.co/ivxmsd7vrt",1
"@alejand01209494 @lassoguillermo @edu_bonilla es grandioso que se este reconociendo el buen trabajo y norte a un gran futuro del presidente, gracias a su gran trabajo. es una persona cumplidor de promesas. guillermo lasso sube @ecuavisa https://t.co/x08v8mjbpi",1
"@lauragonza0 @selenavelasq2 @vicky_goz @diegopilaquing2 @lassoguillermo @tvlecuador @aro_rojas @martinminguchi @mmontalvoec @alexandravelap @aborrerovega bien presidente @lassoguillermo. lo felicito por su gran trabajo, es aceptado, respetado y muy querido por todo el pais. @martinminguchi @mmontalvoec guillermo lasso sube y se mantiene en la cima. https://t.co/qwsubbxmmc",1
