idTweet,fullText
1.48E+18,"🛑En #Francia 4 meses después de que sus nombres aparecieran en #PandoraPapers, Sylvain Maillard sigue siendo miembro del parlamento, portavoz del grupo LREM, en #Ecuador Guillermo Lasso sigue de Presidente y Vargas Llosa es un 'Nobel de la Paz' y miembro de la Academia Francesa. https://t.co/GvYl0mwQYC"
1.48E+18,"🔴 El presidente Guillermo Lasso modifica el decreto sobre el proceso de venta del avión presidencial LEGACY EMB-135 BJ, emitido en agosto de 2021. Ahora, autoriza al Ministerio de Defensa transferirlo a Inmobiliar, entidad que deberá continuar el proceso de enajenación. https://t.co/FkUpPQZAxS"
1.48E+18,"AHORA: el presidente Guillermo Lasso confirmó que, además del vicepresidente Alfredo Borrero, el Gobernador de El Oro y el director del COE nacional están contagiados con Covid-19.
@PrimeraPlanaECU 
@CanalRTU 
@radiosonorama"
1.48E+18,"🛑Organizaciones sociales y movimientos de #Ecuador 🇪🇨 iniciaron preparativos para llevar a cabo una movilización nacional el próximo #19Enero contra las políticas económicas neoliberales del presidente CORRUPTO @LassoGuillermo 

https://t.co/cZyunfwzOe"
1.48E+18,Juan Zapata hará aislamiento voluntario ante confirmación de casos de COVID-19; en la Asamblea Nacional suman 128 contagios ► https://t.co/fxFhZJs2d4 https://t.co/aBKlK5oTc0
1.48E+18,"El presidente Guillermo Lasso anunció créditos desde $500, incluso menos, hasta $5.000 al 1% de interés y hasta 30 años plazo, para los ecuatorianos. ""Alguien que quiere poner un charol, para vender caramelos o galletas en la esquina de la ciudad, requiere menos dinero"", expresó. https://t.co/ibZ5JEe2TT"
1.48E+18,"🔴 El alcalde de Zaruma, Jhansy López, le responde con una carta al presidente Guillermo Lasso, quien lo responsabilizó de lo que ocurre en el cantón, al decirle que en sus 6 años como alcalde no ha hecho nada. Le contesta de esa forma, señala, porque no le dio opción a réplica. https://t.co/VZVB9spQO4 https://t.co/EBkIRryii6"
1.48E+18,El presidente Guillermo Lasso reprochó al alcalde Jhansy López por los socavones en Zaruma. El funcionario le respondió con una carta » https://t.co/neQfddLZas
1.48E+18,"Alcalde zamarreado. Presidente Guillermo Lasso reprendió al alcalde de Zaruma Jhansy López, a quien le dijo que su trabajo deja mucho que desear porque no avisó a tiempo la grave situación de ese cantón. Hoy hubo reunión virtual para revisar acciones por hundimientos mineros. https://t.co/3wFoXyq0kl"
1.48E+18,"El presidente de Ecuador, Guillermo Lasso, acusó al presidente de la Confederación de Nacionalidades Indígenas del Ecuador, Leónidas Iza, de querer «tumbar el Gobierno». https://t.co/h8n0efQ3oW"
1.48E+18,"Boletín Oficial 372 🇪🇨

En cumplimiento al compromiso de ejecutar acciones de remediación en Zaruma, el presidente Guillermo Lasso, lideró una reunión de seguimiento.

📰➡️ https://t.co/TKzOSqS6Pw https://t.co/2yw2deLFat"
1.48E+18,Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ► https://t.co/txS85mFjdP https://t.co/XhUEmm19gQ
1.48E+18,"Durante evaluación de emergencia de #Zaruma, el Presidente Guillermo Lasso arremetió duramente contra el alcalde Jhansy López. ""Tiene 2 periodos como alcalde. Tiene en sus manos una decisión fundamental que no ha tomado en 6 años. Su labor deja mucho que desear"", le increpó Lasso https://t.co/QvnQJ9enTA"
1.48E+18,"(VIDEO)https://t.co/e3jxvWiTsZ
🟠DE MOMENTO🟠
Leonidas Iza le responde a Guillermo Lasso || Pelea entre Gobierno y CONAIE.

El dirigente indígena le respondió al presidente ecuatoriano, quién en los últimos días hizo fuertes declaraciones en su contra.
#Ecuador #CONAIE https://t.co/0AKnZh4eoQ"
1.48E+18,"@patynunezr1 @MashiRafael @RositaJara14 ESTOS GOBERNANTES LENIN MORENO Y GUILLERMO LASSO SON TAN PERVERSOS QUE PREFIEREN QUE SE DAÑEN LAS CASAS CONSTRUIDAS PARA LOS POBRES.Y NO DÁRSELAS A LAS FAMILIAS NECESITADAS,TIENEN SATISFACCIÓN  DE VERLAS DESTRUIDAS QUE DECIR ¡ LAS CONSTRUYÓ RAFAEL CORREA,PRESIDENTE"
1.48E+18,"El presidente Guillermo Lasso firmó el Decreto Ejecutivo 311 por el cual modifica el Decreto 180 sobre el proceso de venta del avión presidencial Legacy EMB-135 BJ, emitido el 31 de agosto de 2021. https://t.co/p7pkcX2ViQ → El Comercio https://t.co/uYGJgBBuIO"
