fullText,polaridad
@kelvingame3 mano dura señor presidente guillermo lasso con estos farsantes que no quieren la recuperación del país por su egoísmo los ecuatorianos queremos trabajar y trabajar para salir de esta crisis que nos afecta por la pandemia a nivel mundial no se diga nacional,1
@semarco @lassoguillermo yo si te creo y te apoyo guillermo lasso presidente  https://t.co/dtllrrjmsb,1
"@comunicacionec yo también quiero para la extracción de miel de abeja  si me darán pero no tengo la libreta de banecuador, gracias sr.presidente guillermo lasso",1
"@ped_rodr @inesrviv @martinminguchi @lassoguillermo @donosoecuador @simoncueva su buena gestión le ha dado estos méritos, guillermo lasso sube trabajando por un mejor mañana lleno de igualdad para todos los ecuatorianos @juanflores18 @4pelagatos4 @lassoguillermo",1
@matematicoarcos que pena ver cómo estos medios se prestan para dar favoritismo a quienes siempre han hecho lo imposible por sabotear la buena gestión de @lassoguillermo sin embargo guillermo lasso sube cumpliendo las promesas con acciones en pro de su pueblo @rorkaufo @notimundoec https://t.co/fztgi9kftu,1
"@comunicacionec @lassoguillermo @banecuadorbp no me cabe la menor duda de la buena gestión que hace nuestro presidente,guillermo lasso sube, y con el la economía, los créditos... mil gracias @guillermolasso @juanflores18",1
"@mandradele @ecuavisainforma @marcoanibal @jcarlosaizprua @leninartieda cifras manipuladas, encuestas que buscan favorecer aquellos que siempre han estado para dañar la buena gestión de @lassoguillermo pero pese a las falsas aseveraciones guillermo lasso sube y el pueblo que lo eligió para el cambio lo sigue apoyando @carponce11 @tctelevision",1
"@inesrviv @martinminguchi @lassoguillermo @donosoecuador su trabajo y dedicación por hacer surgir a su país lo enaltece y le da la credibilidad suficiente por la que su pueblo desde un inicio lo eligió para el cambio, guillermo lasso sube por su buena gestión @lassoguillermo @cancilleriaec @tctelevision https://t.co/ivxmsd7vrt",1
"@alejand01209494 @lassoguillermo @edu_bonilla es grandioso que se esté reconociendo el buen trabajo y norte a un gran futuro del presidente, gracias a su gran trabajo. es una persona cumplidor de promesas. guillermo lasso sube @ecuavisa https://t.co/x08v8mjbpi",1
"@lauragonza0 @selenavelasq2 @vicky_goz @diegopilaquing2 @lassoguillermo @tvlecuador @aro_rojas @martinminguchi @mmontalvoec @alexandravelap @aborrerovega bien presidente @lassoguillermo. lo felicito por su gran trabajo, es aceptado, respetado y muy querido por todo el país. @martinminguchi @mmontalvoec guillermo lasso sube y se mantiene en la cima. https://t.co/qwsubbxmmc",1
@bnperiodismo guillermo lasso sube los ánimos de trabajar prefiero tenerlo a el de presidente que a un bueno para nada como arauz @lassoguillermo te apoyo  @aborrerovega @alexandravelap,1
dr. guillermo lasso seria muy bueno  que que de una embajada urgente al politólogo arturito moscoso se lo merece dr. lasso un fan como el no va a encontrar.,1
"@cambio_libertad @lassoguillermo mano dura presidente guillermo lasso y se acabara la corrupción cuando mande sacando a todos los correistas de todos los ministerios y del seguro social,etc..y no tenga miedo el pueblo ecuatoriano le va apoyar y que sea lo más pronto.",1
"el apoyo a productores y emprendedores por parte del #gobiernodelencuentro es una realidad! los créditos entregados por @banecuadorbp permitirán la reactivación de la agricultura, ganadería y pequeñas industriashttps://t.co/gapnghjk4d
@produccion_ecu @comunicacionec",1
@asambleaecuador @guido_chiriboga apoyo total al presidente guillermo lasso. un hombre integro y trabajador.,1
@revistavistazo @lassoguillermo @jhansyl apoyo total al presidente guillermo lasso. un hombre integro y trabajador.,1
"@micc_ec el presidente #lasso fue a mejorar la vida de las agricultoras llevando créditos prácticamente sin intereses.

en cambio iza y su jefe rafael (en alianza con nebot) lo único que hacen es manipularlos.
@micc_ec... date cuenta!!!",1
@pichi_flor @lassoguillermo debemos agradecer que la mayoría de ecuatorianos estamos vacunados por la gestión del sr presidente guillermo lasso,1
"48,78% de los ecuatorianos calificaron la gestión del presidente guillermo lasso como ""mala""  https://t.co/y9qrfnscf9 https://t.co/3kjzx8ffhp",-1
"?la mala gestión del narcoevasor tiene rechazo del 59%??
#política
la empresa #perfilesdeopinión presenta su último estudio de calificación, de gestión de guillermo  lasso, realizado en quito, guayaquil, manta y cuenca. da como resultado que, 59% no aprueba su gestión. https://t.co/zyxjooaerk",-1
"el 59,07% de los ecuatorianos evalúan como ""mala"" y ""muy mala"" la gestión de guillermo lasso, según perfiles de opinión. la firma encuestó a 1.238 personas en quito, guayaquil, manta y cuenca. lasso cuenta con mayor apoyo en la capital, donde un 46.98% de la población lo respalda https://t.co/qauqxnu3to",-1
"48,78% de los ecuatorianos calificaron la gestión del presidente guillermo lasso como ""mala""  https://t.co/y9qrfnkd6h https://t.co/6jugkisqzy",-1
"#atención | la reciente encuesta de perfiles de opinión registró que el 45.78% de las personas consultadas califica como mala la gestión del presidente guillermo lasso. la firma encuestó a 1.238 ciudadanos en quito, guayaquil, manta y cuenca  https://t.co/plpqxetcav",-1
el 59% de la población califica como mala y muy mala la gestión del presidente guillermo lasso. https://t.co/iaaqxyx0fh,-1
"apenas a 8 meses de gobierno, guillermo lasso presenta cifras negativas de aceptación a la gestión y de credibilidad, según varias encuestas, entre ellas perfiles de opinión. sólo cedatos presenta cifras adulterados. @ecuavisainforma @marcoanibal @jcarlosaizprua @leninartieda https://t.co/7lfnlo9iqg https://t.co/frf7cunuuk",-1
@inesrviv @martinminguchi @lassoguillermo @donosoecuador guillermo lasso sube y deja en evidencia su increíble gestión  y compromiso con nuestro país @lassoguillermo @carlosjijon,1
"""guillermo lasso """"leonidas iza ""
será muy difícil para el gobierno tapar el sol con un dedo las encuestas reflejan el estado en que se encuentra el gobierno de lasso con un 64% de rechazo popular desprestigiado sin bases que lo respalden y con apenas 25 % de apoyo a su gestión https://t.co/wkxtaxvpkl",-1
"48,78% de los ecuatorianos calificaron la gestión del presidente guillermo lasso como ""mala""  https://t.co/y9qrfnscf9 https://t.co/gn6xloxlf6",-1
"#urgente  48,78% de los ecuatorianos calificaron la gestión del presidente guillermo lasso como ""mala""  https://t.co/y9qrfnscf9

#4ene #felizmartes #ecuador @lassoguillermo @perfilesopinion https://t.co/4vjfjad5ne",-1
"@carlosoporto @carlosverareal como van las cosas tendremos 4 años más de socialismo del siglo xxi con guillermo lasso... un gobierno repleto de los mismos delincuentes que destruyeron al país ....

a lasso el ecuador le vale tres atados y solo le interesa salir invicto de los pandora papers...",-1
otra perla para el gobierno mamarracho de guillermo lasso moreno https://t.co/n3mmk6dlrn,-1
@radio_pichincha las prioridades del gobierno del evasor guillermo lasso son vender las empresas públicas a un muy bajo costo para beneficiar a la gallada empresarial de lasso.,-1
"este gobierno de #ecuador  de guillermo #lasso no estuvo preparado para la actual ola de covid y de #omicron.
ni siquiera tienen pruebas #pcr  que vergüenza.
y lo peor que teniendo un vicepresidente médico alguien sabe donde esta #borrero",-1
@lassoguillermo excelente sr presidente guillermo lasso por el gobierno del encuentro promesa cumplida,1
"decían que en el gobierno del ""dictador"" rafael correa nos ""gobernaban"" las mafias, pero ahora en el gobierno del ""demócrata"" guillermo lasso las mafias y la delincuencia controlan el país a vista y paciencia de todas las autoridades.  https://t.co/c8etup6kog",-1
"paro nacional 19 de enero 2022, acaso llegará final del gobierno del sr guillermo lasso, dios permita que así sea,",-1
"los que más celebran el día del periodista, son los hijos de los periodistas palanqueados en el gobierno de guillermo lasso.
#lassomentiroso",-1
"implicados en la investigación de #pandorapapers, hoy, son parte del gobierno del presidente guillermo lasso. https://t.co/exztu4y8s5",-1
@chalecosamarill yasunidos solo se activaron cuando gobernaba la izquierda con la derecha en el poder no existe grupos ecologistas que presionen al gobierno del evasor guillermo lasso.,-1
"@alexismoncayo @perfilesopinion @lassoguillermo no tenemos gobierno, el pillo evasor de guillermo lasso solo esta en calidad de liquidador del estado y enriquecer más al poder económico!! 

hay que sacarlo a patadas a lasso y a todos esos sapos delincuentes de la asamblea solapadores de lasso!!",-1
@revistavistazo el gobierno del mitomano guillermo lasso miente todo el tiempo ya nadie le cree.,-1
