fullText,polaridad
@KELVINGAME3 Mano dura señor Presidente Guillermo Lasso con estos farsantes que no quieren la recuperación del País por su egoísmo los ecuatorianos queremos trabajar y trabajar para salir de esta crisis que nos afecta por la pandemia a nivel mundial no se diga nacional,1
@semarco @LassoGuillermo Yo si te creo y te apoyo Guillermo Lasso Presidente  https://t.co/dtLLRRJmsB,1
"@ComunicacionEc Yo también quiero para la extracción de miel de abeja  si me darán pero no tengo la libreta de banecuador, gracias sr.presidente Guillermo Lasso     ",1
"@ped_rodr @InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador @simoncueva Su buena gestión le ha dado estos méritos, Guillermo Lasso sube trabajando por un mejor mañana lleno de igualdad para todos los ecuatorianos @juanflores18 @4pelagatos4 @LassoGuillermo",1
@MatematicoArcos Que pena ver cómo estos medios se prestan para dar favoritismo a quienes siempre han hecho lo imposible por sabotear la buena gestión de @LassoGuillermo sin embargo Guillermo Lasso sube cumpliendo las promesas con acciones en pro de su pueblo @RorkaUFO @notimundoec https://t.co/FztGi9kftU,1
"@ComunicacionEc @LassoGuillermo @BanEcuadorBP No me cabe la menor duda de la buena gestión que hace nuestro presidente,Guillermo Lasso Sube, y con el la economía, los créditos... mil gracias @GuillermoLasso @juanflores18",1
"@mandradele @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda Cifras manipuladas, encuestas que buscan favorecer aquellos que siempre han estado para dañar la buena gestión de @LassoGuillermo pero pese a las falsas aseveraciones Guillermo Lasso sube y el pueblo que lo eligió para el cambio lo sigue apoyando @CarPonce11 @tctelevision",1
"@InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador Su trabajo y dedicación por hacer surgir a su país lo enaltece y le da la credibilidad suficiente por la que su pueblo desde un inicio lo eligió para el cambio, Guillermo Lasso sube por su buena gestión @LassoGuillermo @CancilleriaEc @tctelevision https://t.co/IVxMsD7vRt",1
"@Alejand01209494 @LassoGuillermo @Edu_Bonilla es grandioso que se esté reconociendo el buen trabajo y norte a un gran futuro del presidente, gracias a su gran trabajo. Es una persona cumplidor de promesas. Guillermo Lasso sube @Ecuavisa https://t.co/X08v8mJbPI",1
"@Lauragonza0 @Selenavelasq2 @Vicky_goz @DiegoPilaquing2 @LassoGuillermo @TvlEcuador @aro_rojas @Martinminguchi @MMontalvoEC @AlexandraVelaP @ABorreroVega Bien presidente @LassoGuillermo. Lo felicito por su gran trabajo, es aceptado, respetado y muy querido por todo el país. @Martinminguchi @MMontalvoEC Guillermo Lasso sube y se mantiene en la cima. https://t.co/QwSuBBXmmC",1
@BNPeriodismo Guillermo lasso sube los ánimos de trabajar prefiero tenerlo a el de Presidente que a un bueno para nada como Arauz @lassoguillermo te apoyo  @ABorreroVega @AlexandraVelaP,1
DR. GUILLERMO LASSO SERIA MUY BUENO  QUE QUE DE UNA EMBAJADA URGENTE AL POLITÓLOGO ARTURITO MOSCOSO SE LO MERECE DR. LASSO UN FAN COMO EL NO VA A ENCONTRAR.,1
"@cambio_libertad @LassoGuillermo Mano dura Presidente Guillermo Lasso y se acabara la Corrupción cuando mande sacando a todos los Correistas de todos los Ministerios y del Seguro Social,etc..y no tenga miedo el pueblo Ecuatoriano le va apoyar y que sea lo más pronto.",1
"El apoyo a productores y emprendedores por parte del #GobiernoDelEncuentro es una realidad! Los créditos entregados por @BanEcuadorBP permitirán la reactivación de la agricultura, ganadería y pequeñas industriashttps://t.co/gAPNGHJK4d
@Produccion_Ecu @ComunicacionEc",1
@AsambleaEcuador @guido_chiriboga Apoyo TOTAL al PRESIDENTE GUILLERMO LASSO. Un HOMBRE INTEGRO y TRABAJADOR.,1
@revistavistazo @LassoGuillermo @JhansyL Apoyo TOTAL al PRESIDENTE GUILLERMO LASSO. Un HOMBRE INTEGRO y TRABAJADOR.,1
"@Micc_Ec El presidente #Lasso fue a mejorar la vida de las agricultoras llevando créditos prácticamente sin intereses.

En cambio Iza y su jefe Rafael (en alianza con Nebot) lo único que hacen es manipularlos.
@Micc_Ec... Date cuenta!!!",1
@PICHI_FLOR @LassoGuillermo Debemos agradecer que la mayoría de ecuatorianos estamos vacunados por la gestión del sr presidente Guillermo Lasso,1
"48,78% de los ecuatorianos calificaron la gestión del presidente Guillermo Lasso como ""mala""  https://t.co/Y9qrfnsCf9 https://t.co/3KJZx8fFHP",-1
"?LA MALA GESTIÓN DEL NARCOEVASOR TIENE RECHAZO DEL 59%??
#Política
La empresa #PerfilesDeOpinión presenta su último estudio de calificación, de gestión de Guillermo  Lasso, realizado en Quito, Guayaquil, Manta y Cuenca. Da como resultado que, 59% no aprueba su gestión. https://t.co/zYXjoOAERK",-1
"El 59,07% de los ecuatorianos evalúan como ""mala"" y ""muy mala"" la gestión de Guillermo Lasso, según Perfiles de Opinión. La firma encuestó a 1.238 personas en Quito, Guayaquil, Manta y Cuenca. Lasso cuenta con mayor apoyo en la capital, donde un 46.98% de la población lo respalda https://t.co/QaUqXnu3To",-1
"48,78% de los ecuatorianos calificaron la gestión del presidente Guillermo Lasso como ""mala""  https://t.co/Y9qrfnKd6H https://t.co/6JUgKiSqZy",-1
"#ATENCIÓN | La reciente encuesta de Perfiles de Opinión registró que el 45.78% de las personas consultadas califica como mala la gestión del presidente Guillermo Lasso. La firma encuestó a 1.238 ciudadanos en Quito, Guayaquil, Manta y Cuenca  https://t.co/PLPQXETCaV",-1
El 59% de la población califica como MALA Y MUY MALA la gestión del presidente Guillermo Lasso. https://t.co/IAAQxyx0FH,-1
"Apenas a 8 meses de Gobierno, Guillermo Lasso presenta cifras negativas de aceptación a la gestión y de credibilidad, según varias encuestas, entre ellas Perfiles de Opinión. Sólo Cedatos presenta cifras adulterados. @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda https://t.co/7LfNLo9iqg https://t.co/fRF7CunUUk",-1
@InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador Guillermo Lasso sube y deja en evidencia su increíble gestión  y compromiso con nuestro país @LassoGuillermo @carlosjijon,1
"""Guillermo Lasso """"Leonidas Iza ""
Será muy difícil para el gobierno tapar el SOL CON UN DEDO las encuestas reflejan el estado en que se encuentra el gobierno de Lasso con un 64% de rechazo popular desprestigiado sin bases que lo respalden y con apenas 25 % de apoyo a su gestión https://t.co/WkxTAxvPKL",-1
"48,78% de los ecuatorianos calificaron la gestión del presidente Guillermo Lasso como ""mala""  https://t.co/Y9qrfnsCf9 https://t.co/gN6XlOxLF6",-1
"#URGENTE • 48,78% de los ecuatorianos calificaron la gestión del presidente Guillermo Lasso como ""mala""  https://t.co/Y9qrfnsCf9

#4Ene #FelizMartes #Ecuador @LassoGuillermo @PerfilesOpinion https://t.co/4vJfjAd5NE",-1
"@carlosoporto @CarlosVerareal Como van las cosas tendremos 4 años más de Socialismo del Siglo XXI con Guillermo Lasso... un gobierno repleto de los mismos delincuentes que destruyeron al país ....

A Lasso el Ecuador le vale tres atados y solo le interesa salir invicto de los Pandora Papers...",-1
Otra perla para el gobierno mamarracho de Guillermo Lasso Moreno https://t.co/n3MMk6dLrn,-1
@radio_pichincha Las prioridades del gobierno del evasor Guillermo Lasso son vender las empresas públicas a un muy bajo costo para beneficiar a la gallada empresarial de Lasso.,-1
"Este gobierno de #Ecuador  de Guillermo #Lasso no estuvo preparado para la actual ola de covid y de #omicron.
Ni siquiera tienen pruebas #PCR  que vergüenza.
Y lo peor que teniendo un vicepresidente médico alguien sabe donde esta #Borrero",-1
@LassoGuillermo Excelente Sr Presidente Guillermo Lasso por el Gobierno del Encuentro promesa cumplida,1
"Decían que en el gobierno del ""dictador"" Rafael Correa nos ""gobernaban"" las mafias, pero ahora en el gobierno del ""demócrata"" Guillermo Lasso las mafias y la delincuencia controlan el país a vista y paciencia de todas las autoridades.  https://t.co/C8eTuP6kOG",-1
